ID,工作项类型,严重程度,标题,状态,负责人,截止日期,预估工时（小时）,已登记工时（小时）,剩余工时（小时）,重新打开-停留次数,创建者,创建时间,所属项目
#10325,缺陷,Critical,ST[版本读取]使用CG的硬件读取BLE版本仍然为CEU,待处理,rain.wu-HFSW,,0h,0h,0h,0,helena.hu-HFST,2024/2/23 10:06,GV58CG_FRT
#10323,缺陷,Critical,ST[PROTOCOL]协议问题,重新打开,rain.wu-HFSW,,0h,0.2h,0h,1,secret.wang-HFST,2024/2/23 9:51,GV75W
#10134,任务,,移植GTGPJ,未开始,rain.wu-HFSW,,0h,0h,0h,,rain.wu-HFSW,2024/2/19 9:58,GV58CG_FRT
#9834,缺陷,Major,ST[SSR&PDS]开启PDS后，设备准备进入STR时重启，重启后21状态但是上报了STR报文,待处理,rain.wu-HFSW,,0h,0h,0h,0,helena.hu-HFST,2024/2/2 18:24,GV58CG_FRT
#9823,缺陷,Critical,ST[点熄火]设备不开启PDS，熄火状态重启，仍然进入熄火11状态,待处理,rain.wu-HFSW,,0h,0h,0h,0,helena.hu-HFST,2024/2/2 17:15,GV58CG_FRT
#9783,缺陷,Major,ST[ERI]建议ERI mask中删除Bluetooth Accessory Data,待处理,rain.wu-HFSW,,0h,0h,0h,0,helena.hu-HFST,2024/2/2 9:51,GV58CG_FRT
#9754,缺陷,Critical,"ST[HRM]无法设置bit 26,bit 27，报文中无法上报Acceleration和Detailed Tracking",待处理,rain.wu-HFSW,,0h,0h,0h,0,helena.hu-HFST,2024/2/1 16:08,GV58CG_FRT
#9710,缺陷,Major,ST[IDA]BID功能已删除，IDA功能中ID List type还没有删除,待处理,rain.wu-HFSW,,0h,0h,0h,0,helena.hu-HFST,2024/2/1 11:13,GV58CG_FRT
#9709,缺陷,Critical,ST[CMD&UDF]Input ID Mask中Bit 40和Bit 41建议删除,待处理,rain.wu-HFSW,,0h,0h,0h,0,helena.hu-HFST,2024/2/1 11:06,GV58CG_FRT
#9690,缺陷,Major,ST[BAS]Accessory Type只支持4，此时Accessory Model、Accessory Append Mask、Low Voltage Threshold参数设置无效,待处理,rain.wu-HFSW,,0h,0h,0h,0,helena.hu-HFST,2024/1/31 16:41,GV58CG_FRT
#9687,缺陷,Critical,"ST[BAS&CAN]RTO-12,13无法查到CAN版本和serial number",待处理,rain.wu-HFSW,,0h,0h,0h,0,helena.hu-HFST,2024/1/31 16:17,GV58CG_FRT
#9623,FAE_BUG,,SW[GV300W_INS A11V08]High temperature values[Location World],RESOLVED,rain.wu-HFSW,,0h,1.5h,0h,,hector,2024/1/31 3:29,GV300W
#9409,FAE_BUG,,SW[GV300W_A19V03] GV300w+CAN100 lost data for a periods of time [Securitas Argentina],RESOLVED,rain.wu-HFSW,,60h,14h,46h,,rperez,2024/1/26 4:16,GV300W
#9378,任务,,GTSMS,已完成,rain.wu-HFSW,,0h,0h,0h,,rain.wu-HFSW,2024/1/25 12:00,GV58CG_FRT
#9377,任务,,GTUDF,已完成,rain.wu-HFSW,,0h,0h,0h,,rain.wu-HFSW,2024/1/25 11:59,GV58CG_FRT
#9373,任务,,GTCRA,已完成,rain.wu-HFSW,,0h,0h,0h,,rain.wu-HFSW,2024/1/25 11:43,GV58CG_FRT
#9372,任务,,GTSSR,已完成,rain.wu-HFSW,,0h,0h,0h,,rain.wu-HFSW,2024/1/25 11:42,GV58CG_FRT
#9370,任务,,GTJBS,已完成,rain.wu-HFSW,,0h,0h,0h,,rain.wu-HFSW,2024/1/25 11:40,GV58CG_FRT
#9251,任务,,[ACC]添加ACC报文。,已完成,rain.wu-HFSW,,0h,0h,0h,,rain.wu-HFSW,2024/1/22 14:42,GV58CG_FRT
#9250,任务,,[LGN]添加HEX格式的LGN报文，上报login in信息。,已完成,rain.wu-HFSW,,40h,38h,2h,,rain.wu-HFSW,2024/1/22 14:41,GV58CG_FRT
#9247,任务,,[HEX]在HEX格式报文中添加参数<Detailed Tracking>。,未开始,rain.wu-HFSW,,0h,0h,0h,,rain.wu-HFSW,2024/1/22 14:41,GV58CG_FRT
#9246,任务,,[GTJBS/GTCRA]添加GTJBS命令，以及在GTCRA中添加Report ACC参数。,已完成,rain.wu-HFSW,,0h,0h,0h,,rain.wu-HFSW,2024/1/22 14:40,GV58CG_FRT
#9016,缺陷,Normal,ST[URT]配置URT-1，GTRTO和GTTKS无法通过副串下发执行,待处理,rain.wu-HFSW,,0h,0h,0h,0,abel.xiang-HFST,2024/1/15 15:57,GV310LAU
#8665,需求,,SW[BB-GV58CEU]Support Frotcom customized feature similar as GV65N_FRT[Frotcom],进行中,rain.wu-HFSW,2024/4/11,0h,0h,0h,,wayne.song,2024/1/5 14:15,GV58CG_FRT
#8531,FAE_BUG,,SW[GV300W_A19V03]Stop reporting with good signal level[Emprenet],NO_FEEDBACK,rain.wu-HFSW,,75h,57.5h,17.5h,,hector,2024/1/2 23:16,GV300W
#8214,缺陷,Critical,ST[IDP]配置IDP上报，同一条报文会组包两条序列号，IDP服务器端接收报文的序列号总是缺失,关闭,rain.wu-HFSW,,3h,3h,0h,1,abel.xiang-HFST,2023/12/22 16:09,GV310LAU
#7095,FAE_BUG,,SW [GV300W] CANBUS information report error [Itego],RESOLVED,rain.wu-HFSW,,0h,0h,0h,,felipe.mendez,2023/11/23 7:29,GV300W
#5121,缺陷,Major,ST[GTC]GTC通过串口和服务器返回的配置文件中ConfigGenerationTime和ConfigUpdateTime错误,待处理,rain.wu-HFSW,,0h,1h,0h,0,janet.he-HFST,2023/9/13 19:15,GV58CEU_Pro
#5114,缺陷,Normal,ST[GTC]GTC读取工厂配置+当前配置，返回的工厂配置中没有Information信息,待处理,rain.wu-HFSW,,0h,0h,0h,0,janet.he-HFST,2023/9/13 18:14,GV58CEU_Pro
#3871,缺陷,Major,ST[TOF]TOF Mode为1，当前PLMN在黑名单里，被注销网络后一直挂机超过半小时设备恢复上报,重新打开,rain.wu-HFSW,,12h,9h,6h,2,daisy.yu-HFST,2023/8/9 15:53,GV58CEU_Pro
#115,缺陷,Critical,ST[PDS]PDS模式1，触发DIS-11/GTGEO之后重启设备后下发PDS-2，INF报文中的Digital Input不展示Digital Input1，立即上报GEO触发的GIN报文，设备恢复41/42状态,关闭,rain.wu-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2023/4/10 18:14,GV57CG
#10580,缺陷,Major,ST[GTALM]实际Current Packet上报到22，而Total Packets只有21,待处理,len.liu-HFSW,,0h,0h,0h,0,alisa.zong-HFST,2024/2/29 11:38,GV350CEU_MOB
#10478,缺陷,Critical,ST[GTTRI]配置GTTRI的Target Data Mask配置17时  GTTRI报文中Extended Timers Data全为0,关闭,len.liu-HFSW,,0h,0h,0h,0,alisa.zong-HFST,2024/2/27 17:53,GV350CEU_MOB
#10469,缺陷,Critical, ST[GTURT]配置GTURT模式7，然后下发GTDAT命令，无GTDTT报文返回,关闭,len.liu-HFSW,,0h,0h,0h,0,alisa.zong-HFST,2024/2/27 17:18,GV350CEU_MOB
#10443,缺陷,Critical,"ST[GTATC]服务器下发AT+GTATC=gv350ceu,,,<AT+COPS=?>,,,FFFF$无结果返回到服务器",关闭,len.liu-HFSW,,0h,0h,0h,0,alisa.zong-HFST,2024/2/27 14:02,GV350CEU_MOB
#10347,缺陷,Major,ST[AIS]外接模拟电压，设置了采样周期但mode=0，INF报文中不显示模拟电压,关闭,len.liu-HFSW,,0h,0h,0h,0,zoe.tan-HFST,2024/2/23 15:14,GV350CEU
#10184,缺陷,Critical,ST[协议版本]协议版本号错误,关闭,len.liu-HFSW,,0h,0h,0h,0,alisa.zong-HFST,2024/2/20 15:22,GV350CEU_MOB
#10097,缺陷,Critical,ST[GTTRI]开启GTCAN功能，再开启GTTRI功能，GTTRI报文中相关数据异常全部为0,关闭,len.liu-HFSW,,0h,0h,0h,0,alisa.zong-HFST,2024/2/6 15:18,GV350CEU_MOB
#9799,缺陷,Critical,ST[GTTTR&GTTRI]开启GTTRI定时上报然后GTTTR同时下载多个文件，THR100会发生重启导致文件下载失败,关闭,len.liu-HFSW,,0h,0h,0h,0,alisa.zong-HFST,2024/2/2 11:40,GV350CEU_MOB
#9253,缺陷,Major,ST[EPS]设备已触发报警，再将电压调至Voltage Margin Error设置的误差电压内，设备退出报警,已修复,len.liu-HFSW,,0h,0h,0h,0,zoe.tan-HFST,2024/1/22 14:47,GV57CG
#9213,缺陷,Major,ST[EPS]范围外报警且Voltage Margin Error为1V，未满足设置的报警条件上报了EPS-00报文,已修复,len.liu-HFSW,,0h,0h,0h,0,zoe.tan-HFST,2024/1/20 17:53,GV57CG
#9089,缺陷,Critical,ST[GTDBG]串口下发GTDBG命令无法打印LOG上传到服务器,关闭,len.liu-HFSW,,0h,0h,0h,0,alisa.zong-HFST,2024/1/17 11:34,GV350CEU_MOB
#9061,缺陷,Critical,ST[GTDBG]串口下发GTDBG命令无法打印log上传到服务器,已修复,len.liu-HFSW,,0h,0h,0h,0,leon.zhou-HFST,2024/1/16 16:12,GV355CEU_MOB
#8999,任务,,GMT200N MOB参数包制作,已完成,len.liu-HFSW,,0h,0h,0h,,eden.cao-HFPM,2024/1/15 12:21,GMT200N_MOB
#8929,任务,,GV56_MOB Mobiliz参数包定制,已完成,len.liu-HFSW,2024/1/15,0h,0h,0h,,nancy.yin-HFPM,2024/1/11 19:26,GV56_MOB
#8844,缺陷,Critical,ST[GTBAS]设备扫描Technoton配件，BAR报文中Accessory Status为1，但是Accessory Data没有数据,关闭,len.liu-HFSW,,0h,0h,0h,0,drake.yao-HFST,2024/1/10 10:54,GV56_MOB
#8673,缺陷,Critical,ST【GTBAS】设备连接Technoton accessory配件，BAR报文中扫描连接状态为1，但是Accessory Data无数据,关闭,len.liu-HFSW,,0h,0h,0h,0,drake.yao-HFST,2024/1/5 14:57,GV56_MOB
#8596,缺陷,Critical,ST【GTBAS】熄火不上报BAR报文,关闭,len.liu-HFSW,,0h,0h,0h,0,drake.yao-HFST,2024/1/4 13:49,GV56_MOB
#8594,缺陷,Major,ST【GTBAS】设备扫描不到TD_BLE油位传感器时，Accessory Status为0，但是Accessory Data上有值,关闭,len.liu-HFSW,,0h,0h,0h,0,drake.yao-HFST,2024/1/4 13:39,GV56_MOB
#8592,缺陷,Critical,ST【GTBAS】设置Accessory Type1 ，Accessory Model 0，IGN Send Interval和IGF Send Interval参数值修改不了,关闭,len.liu-HFSW,,0h,0h,0h,0,drake.yao-HFST,2024/1/4 13:14,GV56_MOB
#8590,缺陷,Major,ST【协议版本号】软件未升级协议版本号,关闭,len.liu-HFSW,,0h,0h,0h,0,drake.yao-HFST,2024/1/4 11:37,GV56_MOB
#8574,缺陷,Critical,ST[TRI&稳定性]不开启副串模式、不开启TRI，下发RTO-2C-3，设备异常重启,关闭,len.liu-HFSW,,0h,0h,0h,0,sandy.wu-HFST,2024/1/3 17:09,GV350CEU_MOB
#8543,PROTOCOL,,PROTOCOL：ES_CORT TD BLE 蓝牙配件信息，修改上报方式,已完成,len.liu-HFSW,,1h,1h,0h,,len.liu-HFSW,2024/1/3 11:16,GV56_MOB
#8469,缺陷,Major,ST[GTIDA]CANBUS ID Enable为1，仍然可以通过1-Wire或者Card Reader获取ID,待讨论,len.liu-HFSW,,0h,0h,0h,0,leon.zhou-HFST,2023/12/29 10:49,GV355CEU_MOB
#8427,需求,,SW[BB-GV56_MOB]Integrated ES_CORT TD BLE sensor[Mobiliz],RESOLVED,len.liu-HFSW,2024/1/12,0h,0h,0h,,dylan.bai,2023/12/28 15:09,GV56_MOB
#8388,缺陷,Critical,ST[GTTRI]使用模拟数据使RDT data/RWDT data/NWBP 全ff，GTTRI报文Tachograph Device State一直为0,关闭,len.liu-HFSW,,0h,0h,0h,0,sandy.wu-HFST,2023/12/27 17:07,GV350CEU_MOB
#7743,缺陷,Critical,ST[GTTRI]模拟数据bit1/bit2/bit3为全FF，不会重启THR100,关闭,len.liu-HFSW,,0h,0h,0h,1,alisa.zong-HFST,2023/12/12 15:25,GV350CEU_MOB
#7598,缺陷,Major,ST[GTTRI]Output Direction=3，RTO-2C通过短信下发无对应报文上报到短信网关,关闭,len.liu-HFSW,,0h,0h,0h,0,alisa.zong-HFST,2023/12/7 16:43,GV350CEU_MOB
#7086,缺陷,Critical,设备点火，UPD升级后，里程值不保存,关闭,len.liu-HFSW,,0h,0h,0h,0,drake.yao-HFST,2023/11/22 18:05,GV56_MOB
#6735,PROTOCOL,,PROTOCOL:新增GTTTR协议命令和对应事件报文,已完成,len.liu-HFSW,,0h,0h,0h,,len.liu-HFSW,2023/11/10 13:25,GV350CEU_MOB
#6324,缺陷,Major,ST[DAT] 通过SMS给串口下发GTDAT命令，设备上报数据到主串口的时候还上报很多其他的数据,关闭,len.liu-HFSW,,0h,0h,0h,0,secret.wang-HFST,2023/10/27 9:51,GV350CEU_WFS
#5187,缺陷,Normal,ST[GTEPS]HEX上报，给设备电压在32V以上，上报HEX 定位报文和时间报文外电电压值异常,关闭,len.liu-HFSW,,0h,0h,0h,0,leon.zhou-HFST,2023/9/15 13:17,GV355CEU
#5104,任务,,大量PEO支持方案探索,未开始,len.liu-HFSW,,0h,0h,0h,,john.wang-HFSW,2023/9/13 16:12,SW_APP
#4786,缺陷,Major,ST[GTBAS&OUT]数字输入已经触发输出了，仅改变OUTPUT ID重新下发命令，等到新的ID触发输出了，之前的输出也不会停止,拒绝,len.liu-HFSW,,0h,0h,0h,0,reese.wang-HFST,2023/9/5 14:12,GV350CEU_MOB
#4731,缺陷,Major,ST[GTBAS]当扫描成功后的配件拿到扫描不到的环境，三分钟依然显示扫描成功，上报之前的值，会导致不同的Index扫描成一个配件都成功,拒绝,len.liu-HFSW,,0h,0h,0h,0,reese.wang-HFST,2023/9/4 16:48,GV350CEU_MOB
#4728,缺陷,Major,ST[BAS]当MAC与Accessory Model不一致时，WTH301与WMS301无法区分,拒绝,len.liu-HFSW,,0h,0h,0h,0,reese.wang-HFST,2023/9/4 16:17,GV350CEU_MOB
#4362,缺陷,Normal,ST[DOG]测试期间，改变DOG的PDP参数后，发现计时器重新计时，没有延续之前的,关闭,len.liu-HFSW,,0h,0h,0h,0,kivi.luo-HFST,2023/8/23 17:06,GL33CG
#10491,缺陷,Critical,ST[VMS]GTVMS命令下发失败,关闭,haze.zhang-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2024/2/28 9:43,GV57CEU_ITR
#10485,缺陷,Critical,ST[UDF&DIS]AT+GTUDF中Input ID Mask选择input 3时，无法触发对应AT+GTCMD命令中保存的命令执行,关闭,haze.zhang-HFSW,,0h,0h,0h,0,sandy.wu-HFST,2024/2/27 20:01,GV355CEU
#10396,缺陷,Critical,ST[HBM]Discard Unknown Event参数不起作用,关闭,haze.zhang-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2024/2/26 14:23,GV50CG_ITR
#10378,缺陷,Critical,ST[HBM]Behavior Duration参数设置不起作用,关闭,haze.zhang-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2024/2/26 11:38,GV50CG_ITR
#10361,缺陷,Critical,ST[HBM]HBM Mode 5时，Report Mode=2下发失败,关闭,haze.zhang-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2024/2/23 18:47,GV50CG_ITR
#10147,缺陷,Critical,ST[HBM]不支持Mode2-4,关闭,haze.zhang-HFSW,,0h,2h,0h,0,shyla.wu-HFST,2024/2/19 14:51,GV50CG_ITR
#10133,缺陷,Major,"ST[DOG]DOG inputid设为6，开启IGM,触发GTDOG-63重启后更改DOG Mode为2，关闭IGM，两次点火间隔达到时间不会重启",待处理,haze.zhang-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2024/2/19 9:55,GV50CG_ITR
#10132,缺陷,Major,ST[DOG]点火10min重启，Input ID设为6，不开启IGM，硬件点火状态下重启设备之后会不停地GTDOG-02类型重启,待处理,haze.zhang-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2024/2/18 18:10,GV50CG_ITR
#10126,缺陷,Major,"ST[SRI]上报模式1/2TCP短链，Connection life大于报文上报间隔,设备上报到备份服务器，再打开主服务器报文会上报到主服务器",关闭,haze.zhang-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2024/2/18 11:43,GV50CG_ITR
#10076,缺陷,Critical,ST[ACJ]下发ACJ指令失败,关闭,haze.zhang-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2024/2/5 18:46,GV50CG_ITR
#10051,缺陷,Major,ST[VMS]设备处于虚拟点火状态，Ignition report mode从1切换为0后达到虚拟熄火条件不能进入虚拟熄火,关闭,haze.zhang-HFSW,,0h,0h,0h,1,shyla.wu-HFST,2024/2/5 14:38,GV50CG_ITR
#9955,缺陷,Critical,ST[VVS]Ignition On Voltage参数下发90000，返回error,关闭,haze.zhang-HFSW,,0h,0h,0h,1,shyla.wu-HFST,2024/2/4 15:40,GV50CG_ITR
#9950,缺陷,Critical,ST[FOTA]下发UPD指令失败,关闭,haze.zhang-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2024/2/4 14:47,GV50CG_ITR
#9943,缺陷,Critical,ST[VVS]Ignition On Voltage2参数下发不起作用,关闭,haze.zhang-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2024/2/4 13:27,GV50CG_ITR
#9838,缺陷,Critical,ST[VMS]Ignition report mode为0，虚拟点熄火上报GTIGN/GTIGF，会上报GTVGL,关闭,haze.zhang-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2024/2/2 19:32,GV50CG_ITR
#9817,任务,,AT+GTVMS命令调整,已完成,haze.zhang-HFSW,,0h,0h,0h,,haze.zhang-HFSW,2024/2/2 16:19,GV50CG_ITR
#9699,缺陷,Major,"ST[VVS]当输入高电压（70V）,自校准功能不生效",关闭,haze.zhang-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2024/1/31 18:19,GV50CG_ITR
#9683,缺陷,Critical,ST[IDL]Validate Motor On/Off为1，不开启VMS的Voltage Idle Vehicle Event参数，硬件点火和虚拟点火静止也能进入GTIDN,关闭,haze.zhang-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2024/1/31 15:25,GV50CG_ITR
#9681,缺陷,Critical,ST[IDL]开启PDS保存，上报GTIGN/GTVGN之后重启设备，重启回来达到条件不上报GTIDN,关闭,haze.zhang-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2024/1/31 15:08,GV50CG_ITR
#9675,缺陷,Critical,ST[IDL]开启Validate Motor On/Off，电压不满足VVS，一直保持静止，之后调节外电压上报GTVGN无法进入空转，必须运动再静止,关闭,haze.zhang-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2024/1/31 14:15,GV50CG_ITR
#9667,缺陷,Critical,ST[IDL]Validate Motor On/Off参数位与GV50ITR不一致,关闭,haze.zhang-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2024/1/31 13:36,GV50CG_ITR
#9656,缺陷,Critical,ST[报文]FRI/INF报文不符合评审结果，报文和协议都要修改,关闭,haze.zhang-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2024/1/31 10:19,GV50CG_ITR
#9380,任务,,GTIDA,未开始,haze.zhang-HFSW,,0h,0h,0h,,rain.wu-HFSW,2024/1/25 12:21,GV58CG_FRT
#9379,任务,,GTACD,未开始,haze.zhang-HFSW,,0h,0h,0h,,rain.wu-HFSW,2024/1/25 12:20,GV58CG_FRT
#9376,任务,,GTDOS,未开始,haze.zhang-HFSW,,0h,0h,0h,,rain.wu-HFSW,2024/1/25 11:46,GV58CG_FRT
#9320,缺陷,Critical,ST[EPS]MPN / MPF Validity Time设为10(不为0)，断开外电和连接外电不上报GTMPF/GTMPN,关闭,haze.zhang-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2024/1/23 19:24,GV57CEU_ITR
#9249,任务,,[DIS]在GTDIS命令中添加<No ignition>。,未开始,haze.zhang-HFSW,,0h,0h,0h,,rain.wu-HFSW,2024/1/22 14:41,GV58CG_FRT
#9235,任务,,AT+GTUDF命令调整,已完成,haze.zhang-HFSW,,0h,0h,0h,,haze.zhang-HFSW,2024/1/22 11:21,GV50CG_ITR
#9225,任务,,AT+GTIDL命令调整,已完成,haze.zhang-HFSW,,0h,0h,0h,,haze.zhang-HFSW,2024/1/22 10:04,GV50CG_ITR
#9224,任务,,AT+GTEPS命令调整,已完成,haze.zhang-HFSW,,0h,0h,0h,,haze.zhang-HFSW,2024/1/22 9:56,GV50CG_ITR
#9212,缺陷,Major,ST[QMS]平台上升级CAN版本，能升级成功，但会丢失UPD-351报文且Firmware Tasks一直卡在RUNNING,待处理,haze.zhang-HFSW,,0h,0h,0h,0,ice.zhou-HFST,2024/1/20 14:46,GV75LAU
#9112,任务,,AT+GTFRI命令调整,已完成,haze.zhang-HFSW,,0h,0h,0h,,haze.zhang-HFSW,2024/1/17 17:08,GV50CG_ITR
#9108,任务,,AT+GTTMA命令调整,已完成,haze.zhang-HFSW,,0h,2h,0h,,haze.zhang-HFSW,2024/1/17 16:26,GV50CG_ITR
#9107,缺陷,Major,ST[UDT]设备放置录制仪上，重启之后上报一条UDT报文就不在上报了,待处理,haze.zhang-HFSW,,0h,0h,0h,0,ice.zhou-HFST,2024/1/17 16:18,GV75LAU
#9086,缺陷,Major,ST[SPD]hex报文少了一位reserved位,关闭,haze.zhang-HFSW,,0h,0h,0h,0,bella.ge-HFST,2024/1/17 10:46,GV75LAU
#8972,缺陷,Major,ST[OWH]CFG Pin mode为4下，能触发OWH功能,关闭,haze.zhang-HFSW,,0h,0h,0h,0,ice.zhou-HFST,2024/1/12 16:45,GV75LAU
#8952,缺陷,Normal,ST[SMS]短信下发，前面加特定的特殊字符不能响应,待处理,haze.zhang-HFSW,,0h,0h,0h,0,ice.zhou-HFST,2024/1/12 13:15,GV75LAU
#8822,任务,,GV50CG_ITR协议整理,已完成,haze.zhang-HFSW,,0h,0h,0h,,haze.zhang-HFSW,2024/1/9 17:10,GV50CG_ITR
#8748,缺陷,Major,ST[DNS]Primary DNS server和Secondary DNS server均设置为255.255.255.255，报文无法上报到主服务器，与协议中note描述不一致,关闭,haze.zhang-HFSW,,0h,0h,0h,0,ice.zhou-HFST,2024/1/8 16:48,GV75LAU
#8641,缺陷,Major,ST[IDA]IDA指令里ID List Type默认值应该为0,关闭,haze.zhang-HFSW,,0h,0h,0h,0,ice.zhou-HFST,2024/1/5 10:05,GV75LAU
#8565,缺陷,Critical,ST[CAN]副串CAN连接异常，下发RTO-12和RTO-13读取CAN版本和SN号均读取不到,关闭,haze.zhang-HFSW,,0h,0h,0h,0,ice.zhou-HFST,2024/1/3 15:46,GV75LAU
#8520,缺陷,Major,ST【GTCAN】设备正常连接副串can，上报can报文，切换Communication Type为1后，设备不上报can报文,关闭,haze.zhang-HFSW,,0h,0h,0h,0,drake.yao-HFST,2024/1/2 15:28,GV75LAU
#8317,缺陷,Major,changelist2163协议问题,关闭,haze.zhang-HFSW,,0h,0h,0h,0,ice.zhou-HFST,2023/12/26 15:06,GV75LAU
#8271,缺陷,Major,ST[SSR]SSR模式1，Fast STP Mode=1，设备在STR状态时  熄火上报GTSTP报文在GTIGF报文之后,关闭,haze.zhang-HFSW,,0h,8h,0h,0,freda.wang-HFST,2023/12/25 14:55,GV75LAU
#8254,缺陷,Major,"ST[HBM]触发HBM报警且OUTPUT1灯常亮，重新下发<Output Status>=0,<Output Duration>=0后再触发HBM报警OUTPUT1灯不会灭",关闭,haze.zhang-HFSW,,0h,0h,0h,0,ice.zhou-HFST,2023/12/25 11:57,GV75LAU
#8134,缺陷,Major,ST[GEO]ID大于31，Trigger Mode22不生效，仍是和Trigger Mode21表现一样，ID大于31不能出发输出灯亮,关闭,haze.zhang-HFSW,,0h,0h,0h,0,freda.wang-HFST,2023/12/21 15:45,GV75LAU
#7901,缺陷,Major,ST[CMS]HEX格式EHD，PHD报文解析不了图片,关闭,haze.zhang-HFSW,,0h,0h,0h,1,freda.wang-HFST,2023/12/15 11:17,GV75LAU
#7606,需求,,SW[BB-GV305CEU] add <Format> parameter in GTURT mode 7 and 8 [Dubai Tech],关闭,haze.zhang-HFSW,2023/12/21,0h,0h,0h,,penny.pei,2023/12/7 17:10,GV305CEU
#7157,缺陷,Critical,ST[GTUDF]Group id 只有0&23触发有效，其他id同配置却没有触发CMD保存的命令,关闭,haze.zhang-HFSW,,0h,0h,0h,0,vicky.huang-HFST,2023/11/24 14:41,GV350CEU
#6821,缺陷,Normal,ST[CAN]3.0CAN升级版本时间过长，最长1个小时40分钟左右,关闭,haze.zhang-HFSW,,0h,0h,0h,0,ice.zhou-HFST,2023/11/14 11:18,GV75LAU
#10366,任务,,GV50 REM客户定制参数送测20240226,已完成,harper.kuang-HFSW,2024/2/28,4h,3h,1h,,daniel.cheng-HFPM,2024/2/26 9:49,GV50
#10046,子任务,,GV58LAU_ASCII校对+问题修改,未开始,harper.kuang-HFSW,,0h,0h,0h,,ernie.hu-HFSW,2024/2/5 14:35,Protocol_Dev
#10037,子任务,,GV58CEU(CG)_ASCII校对+问题修改,未开始,harper.kuang-HFSW,,0h,0h,0h,,ernie.hu-HFSW,2024/2/5 14:32,Protocol_Dev
#10004,子任务,,GV75LAU_ASCII校对+问题修改,未开始,harper.kuang-HFSW,,0h,0h,0h,,ernie.hu-HFSW,2024/2/5 14:23,Protocol_Dev
#9650,子任务,,GV350CEU_Command校对+问题修改,已完成,harper.kuang-HFSW,,0h,0h,0h,,ernie.hu-HFSW,2024/1/31 10:11,Protocol_Dev
#9651,子任务,,GV350CEU_ASCII校对+问题修改,已完成,harper.kuang-HFSW,,0h,0h,0h,,ernie.hu-HFSW,2024/1/31 10:11,Protocol_Dev
#9641,子任务,,GV305CEU_Command校对+问题修改,已完成,harper.kuang-HFSW,,0h,0h,0h,,ernie.hu-HFSW,2024/1/31 9:55,Protocol_Dev
#9642,子任务,,GV305CEU_ASCII校对+问题修改,已完成,harper.kuang-HFSW,,0h,0h,0h,,ernie.hu-HFSW,2024/1/31 9:55,Protocol_Dev
#9628,子任务,,GB100CG_Command校对+修改,已完成,harper.kuang-HFSW,,0h,0h,0h,,ernie.hu-HFSW,2024/1/31 9:03,Protocol_Dev
#9629,子任务,,GB100CG_ASCII校对,已完成,harper.kuang-HFSW,,0h,0h,0h,,ernie.hu-HFSW,2024/1/31 9:03,Protocol_Dev
#9559,子任务,,基于基线版本报文_Mask参数校对,已完成,harper.kuang-HFSW,,0h,0h,0h,,ernie.hu-HFSW,2024/1/30 10:24,Protocol_Dev
#9722,子任务,,root example编写及调整,关闭,harper.kuang-HFSW,2023/12/29,150h,0h,150h,,harper.kuang-HFSW,2024/2/1 13:48,Protocol_Dev
#9569,子任务,,GV500CG网站协议Example补充,已完成,harper.kuang-HFSW,,0h,0h,0h,,ernie.hu-HFSW,2024/1/30 11:41,Protocol_Dev
#9573,子任务,,GV500CG报文问题校对补充,已完成,harper.kuang-HFSW,,0h,0h,0h,,ernie.hu-HFSW,2024/1/30 11:51,Protocol_Dev
#9542,子任务,,GV310LAU网站协议ASCII校对修改,未开始,harper.kuang-HFSW,,0h,0h,0h,,ernie.hu-HFSW,2024/1/30 9:37,Protocol_Dev
#8170,FAE_BUG,,SW [GV57] Device stos reporting after MPF report [Encontrack],NO_FEEDBACK,harper.kuang-HFSW,2023/12/29,10h,4h,6h,,felipe.mendez,2023/12/22 7:06,GV57
#7395,需求,,SW [GV57CG] Increment the Harsh Behavior also by Motion,关闭,harper.kuang-HFSW,2023/12/21,5h,2h,3h,,bruno.matos,2023/12/1 10:54,GV57CG
#7394,需求,,SW GV50CG Increment the Harsh Behavior also by Motion,关闭,harper.kuang-HFSW,2023/12/21,5h,2h,3h,,bruno.matos,2023/12/1 10:51,GV50CG
